사고연도,사고유형구분,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,위도,경도
2015,보행노인,서울특별시 동대문구4,서울특별시 동대문구 이문동(사슴약국 부근),5,5,37.600822,127.062043
2015,보행노인,서울특별시 동대문구5,서울특별시 동대문구 전농동(전농동사거리_전농로_진입_2 부근),5,5,37.577124,127.057601
2015,보행노인,서울특별시 동대문구6,서울특별시 동대문구 제기동(양지장여관 부근),4,4,37.588216,127.037244
2015,보행노인,서울특별시 동대문구7,서울특별시 동대문구 휘경동(외대앞역지하차도(동측) 부근),4,4,37.594819,127.064216
2015,보행노인,서울특별시 동대문구8,서울특별시 동대문구 답십리동(답십리사거리 부근),4,4,37.572774,127.058052
2015,보행노인,서울특별시 동대문구9,서울특별시 동대문구 이문동(이문동우편취급소 부근),4,4,37.604902,127.062034
2015,보행노인,서울특별시 동대문구10,서울특별시 동대문구 이문동(우영목욕탕 부근),3,3,37.593555,127.058461
2015,보행노인,서울특별시 동대문구11,서울특별시 동대문구 장안동(동양빌딩 부근),3,3,37.567623,127.068667
2015,보행노인,서울특별시 동대문구12,서울특별시 동대문구 전농동(전농1동사무소 부근),3,3,37.579223,127.050332
2015,보행노인,서울특별시 중랑구1,서울특별시 중랑구 상봉동(부국병원 부근),7,7,37.594562,127.085857
2015,보행노인,서울특별시 중랑구2,서울특별시 중랑구 묵동(묵동성심의원 부근),5,5,37.616983,127.079445
2015,보행노인,서울특별시 중랑구3,서울특별시 중랑구 중화동(한미은행 부근),5,5,37.594366,127.077901
2015,보행노인,서울특별시 중랑구4,서울특별시 중랑구 면목동(용마한신아파트 부근),3,3,37.582006,127.093402
2015,보행노인,서울특별시 중랑구5,서울특별시 중랑구 신내동(중랑구청사거리 부근),3,3,37.607048,127.095603
2015,보행노인,서울특별시 중랑구6,서울특별시 중랑구 중화동(중흥초교 부근),3,3,37.601873,127.083675
2015,보행노인,서울특별시 중랑구7,서울특별시 중랑구 면목동(면목2동사거리_일반국도3호선_진 부근),3,3,37.587579,127.079985
2015,보행노인,서울특별시 성북구1,서울특별시 성북구 길음동(길음뉴타운 상가동 부근),7,7,37.603792,127.022809
2015,보행노인,서울특별시 성북구2,서울특별시 성북구 장위동(중고재활용센타 부근),6,6,37.616749,127.049360
2015,보행노인,서울특별시 성북구3,서울특별시 성북구 돈암동(서경대입구 부근),6,6,37.603545,127.014306
2015,보행노인,서울특별시 성북구4,서울특별시 성북구 동선동4가(엔젤오피스텔 부근),4,4,37.594653,127.019419
2015,보행노인,서울특별시 성북구5,서울특별시 성북구 종암동(종암동 근린생활시설 부근),4,4,37.599262,127.034288
2015,보행노인,서울특별시 성북구6,서울특별시 성북구 삼선동1가(한성대입구역_동소문로_진입_1 부근),4,6,37.588440,127.006375
2015,보행노인,서울특별시 성북구7,서울특별시 성북구 하월곡동(원조산천칡냉면 부근),3,3,37.601274,127.040838
2015,보행노인,서울특별시 성북구8,서울특별시 성북구 장위동(신한은행(장위지점) 부근),3,3,37.609886,127.051635
